"","GameID","InputID","NetworkTyp","ServerAvailable","Ping","CSR","DecisionIndication","LocalTimeEstimation","ServerTimeEstimation","CommunicationTimeEstimatiom","OverallOffloadingTimeEstimation","CommunicationEnergyEstimation","LocalEnergyEstimation","ServerEnergyEstimation","RealServerTime","RealExecutionTime","OffloadingDone","ExecutedTask","ParamterSizeKB","UplinkKBs","Result","Difficulty","newTime","newEstimation","EstRealDiff"
"1942","2016-01-07 19:27:54",11623,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",20.7811457999822,4.01192178248834,27.7437463357748,31.7556681182631,33.2924956029298,15.5858593499866,35.2984564941739,-1,26.9415419999277,"false","iterativeDeepening",9637,536.253278206024,"h1g2","Very Easy",26.9415419999277,20.7811457999822,-6.16039619994553
"1943","2016-01-07 19:27:54",11633,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",32.2863237777427,6.23306370529907,27.7847717260038,34.0178354313029,33.3417260712046,24.2147428333071,36.4582579238541,-1,28.6331660000142,"false","iterativeDeepening",9659,536.253278206024,"b5c4","Very Easy",28.6331660000142,32.2863237777427,3.65315777772857
"1944","2016-01-07 19:27:54",11524,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",21.790131299998,4.20671233661322,27.7045857360107,31.9112980726239,33.2455028832129,16.3425984749985,35.3488590515195,-1,23.5742080000928,"false","iterativeDeepening",9616,536.253278206024,"b3c4","Very Easy",23.5742080000928,21.790131299998,-1.78407670009474
"1945","2016-01-07 19:27:54",11432,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",26.6706666842036,5.14892824744697,27.7045857360107,32.8535139834577,33.2455028832129,20.0030000131527,35.8199670069364,-1,24.6323749999283,"false","iterativeDeepening",9616,536.253278206024,"c8g8","Very Easy",24.6323749999283,26.6706666842036,2.03829168427528
"1946","2016-01-07 19:27:54",11423,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",17.3310332999536,3.34585737852693,27.7456111262398,31.0914685047667,33.2947333514877,12.9982749749652,34.9676620407512,-1,25.0712089999579,"false","iterativeDeepening",9638,536.253278206024,"d1b1","Very Easy",25.0712089999579,17.3310332999536,-7.74017570000433
"1947","2016-01-07 19:27:54",11433,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",23.8577412000857,4.60587652494481,27.7847717260038,32.3906482509487,33.3417260712046,17.8933059000643,35.644664333677,-1,22.908458000049,"false","iterativeDeepening",9659,536.253278206024,"a6a5","Very Easy",22.908458000049,23.8577412000857,0.949283200036735
"1948","2016-01-07 19:27:54",11427,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",23.3467039999843,4.50721780350172,27.7045857360107,32.2118035395125,33.2455028832129,17.5100279999882,35.4991117849637,-1,18.1293330000481,"false","iterativeDeepening",9616,536.253278206024,"d2e2","Very Easy",18.1293330000481,23.3467039999843,5.21737099993625
"1949","2016-01-07 19:27:54",11432,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",26.5687520999898,5.12925304068523,27.7456111262398,32.874864166925,33.2947333514877,19.9265640749923,35.8593598718303,-1,21.7866250000661,"false","iterativeDeepening",9638,536.253278206024,"d6d5","Very Easy",21.7866250000661,26.5687520999898,4.78212709992367
"1950","2016-01-07 19:27:54",11430,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",23.585246999985,4.5532699253132,27.7045857360107,32.2578556613239,33.2455028832129,17.6889352499888,35.5221378458695,-1,21.6217509999406,"false","iterativeDeepening",9616,536.253278206024,"c4c5","Very Easy",21.6217509999406,23.585246999985,1.96349600004448
"1951","2016-01-07 19:27:54",11435,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",28.0092118333608,5.40734222001785,27.7045857360107,33.1119279560286,33.2455028832129,21.0069088750206,35.9491739932218,-1,25.0260410000337,"false","iterativeDeepening",9616,536.253278206024,"d5d4","Very Easy",25.0260410000337,28.0092118333608,2.98317083332707
"1952","2016-01-07 19:27:54",11429,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",22.9538632857605,4.4313776051983,27.7045857360107,32.135963341209,33.2455028832129,17.2153974643204,35.461191685812,-1,19.5926250000484,"false","iterativeDeepening",9616,536.253278206024,"e2e4","Very Easy",19.5926250000484,22.9538632857605,3.36123828571207
"1953","2016-01-07 19:27:54",11436,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",29.6420329999761,5.72256789950167,27.7437463357748,33.4663142352765,33.2924956029298,22.2315247499821,36.1537795526806,-1,33.4749169999268,"false","iterativeDeepening",9637,536.253278206024,"d4d3","Very Easy",33.4749169999268,29.6420329999761,-3.83288399995072
"1954","2016-01-07 19:27:54",11430,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",23.4543472666487,4.52799896592778,27.7045857360107,32.2325847019385,33.2455028832129,17.5907604499866,35.5095023661768,-1,20.1986669999314,"false","iterativeDeepening",9616,536.253278206024,"h3h4","Very Easy",20.1986669999314,23.4543472666487,3.25568026671729
"1955","2016-01-07 19:27:54",11434,"Wi-Fi","true",9.77276062499368,5.179848,"Time Save",25.461666428642,4.91552367452272,27.7045857360107,32.6201094105335,33.2455028832129,19.0962498214815,35.7032647204742,-1,27.2002499999944,"false","iterativeDeepening",9616,536.253278206024,"b4d5","Very Easy",27.2002499999944,25.461666428642,-1.7385835713524
